Channel,Energy (keV),CTS,CR,Net CR,Error
7335,2028.1032,35,0.194444444,0.194444444,0.03286711
7336,2028.3797,28,0.155555556,0.155555556,0.029397237
7337,2028.6562,43,0.238888889,0.23875,0.036430479
7338,2028.9327,30,0.166666667,0.166666667,0.030429031
7339,2029.2092,35,0.194444444,0.194166667,0.032867697
7340,2029.4857,52,0.288888889,0.28875,0.040061922
7341,2029.7622,43,0.238888889,0.23875,0.036430479
7342,2030.0387,46,0.255555556,0.255277778,0.037680123
7343,2030.3152,30,0.166666667,0.166666667,0.030429031
7344,2030.5917,35,0.194444444,0.194305556,0.032867403
7345,2030.8682,38,0.211111111,0.210833333,0.034247308
7346,2031.1447,31,0.172222222,0.172083333,0.030932336
7347,2031.4212,36,0.2,0.2,0.033333333
7348,2031.6977,29,0.161111111,0.160972222,0.029917905
7349,2031.9742,37,0.205555556,0.205277778,0.033793696
7350,2032.2507,29,0.161111111,0.160972222,0.029917905
7351,2032.5272,37,0.205555556,0.205555556,0.033793125
7352,2032.8037,36,0.2,0.199861111,0.033333623
7353,2033.0802,50,0.277777778,0.277638889,0.039283956
7354,2033.3567,33,0.183333333,0.183194444,0.031914539
7355,2033.6332,43,0.238888889,0.23875,0.036430479
7356,2033.9097,43,0.238888889,0.238888889,0.036430214
7357,2034.1862,44,0.244444444,0.244305556,0.036851648
7358,2034.4627,34,0.188888889,0.18875,0.032394475
7359,2034.7392,31,0.172222222,0.172083333,0.030932336
7360,2035.0157,33,0.183333333,0.183194444,0.031914539
7361,2035.2922,43,0.238888889,0.23875,0.036430479
7362,2035.5687,41,0.227777778,0.227777778,0.035572912
7363,2035.8452,37,0.205555556,0.205416667,0.033793411
7364,2036.1217,32,0.177777778,0.177638889,0.031427275
7365,2036.3982,46,0.255555556,0.255416667,0.037679867
7366,2036.6747,36,0.2,0.2,0.033333333
7367,2036.9512,28,0.155555556,0.155416667,0.029397565
7368,2037.2277,40,0.222222222,0.221805556,0.035137242
7369,2037.5042,32,0.177777778,0.177777778,0.031426968
7370,2037.7807,45,0.25,0.249861111,0.037268058
7371,2038.0572,37,0.205555556,0.205555556,0.033793125
7372,2038.3337,34,0.188888889,0.188333333,0.032395368
7373,2038.6102,34,0.188888889,0.18875,0.032394475
7374,2038.8867,43,0.238888889,0.238611111,0.036430744
7375,2039.1632,35,0.194444444,0.194444444,0.03286711
7376,2039.4397,40,0.222222222,0.222222222,0.035136418
7377,2039.7162,32,0.177777778,0.177777778,0.031426968
7378,2039.9927,29,0.161111111,0.161111111,0.029917582
7379,2040.2692,37,0.205555556,0.205277778,0.033793696
7380,2040.5457,30,0.166666667,0.16625,0.030429982
7381,2040.8222,37,0.205555556,0.205555556,0.033793125
7382,2041.0987,41,0.227777778,0.227638889,0.035573184
7383,2041.3752,37,0.205555556,0.205416667,0.033793411
7384,2041.6517,42,0.233333333,0.233194444,0.036004383
7385,2041.9282,43,0.238888889,0.23875,0.036430479
7386,2042.2047,39,0.216666667,0.216388889,0.034694989
7387,2042.4812,39,0.216666667,0.21625,0.034695267
7388,2042.7577,37,0.205555556,0.205416667,0.033793411
7389,2043.0342,41,0.227777778,0.227777778,0.035572912
7390,2043.3107,49,0.272222222,0.272222222,0.038888889
7391,2043.5872,38,0.211111111,0.210972222,0.034247026
7392,2043.8637,47,0.261111111,0.260694444,0.03808773
7393,2044.1402,41,0.227777778,0.227638889,0.035573184
7394,2044.4167,33,0.183333333,0.183333333,0.031914237
7395,2044.6932,31,0.172222222,0.172222222,0.030932024
7396,2044.9697,38,0.211111111,0.210833333,0.034247308
7397,2045.2462,48,0.266666667,0.266666667,0.038490018
7398,2045.5227,36,0.2,0.199861111,0.033333623
7399,2045.7992,42,0.233333333,0.233333333,0.036004115
7400,2046.0757,36,0.2,0.199861111,0.033333623
7401,2046.3522,35,0.194444444,0.194444444,0.03286711
7402,2046.6287,53,0.294444444,0.294305556,0.040445293
7403,2046.9052,41,0.227777778,0.227777778,0.035572912
7404,2047.1817,36,0.2,0.199861111,0.033333623
7405,2047.4582,35,0.194444444,0.194305556,0.032867403
7406,2047.7347,36,0.2,0.199861111,0.033333623
7407,2048.0112,41,0.227777778,0.2275,0.035573455
7408,2048.2877,43,0.238888889,0.238888889,0.036430214
7409,2048.5642,31,0.172222222,0.172083333,0.030932336
7410,2048.8407,28,0.155555556,0.155277778,0.029397893
7411,2049.1172,46,0.255555556,0.255277778,0.037680123
7412,2049.3937,37,0.205555556,0.205277778,0.033793696
7413,2049.6702,36,0.2,0.199861111,0.033333623
7414,2049.9467,31,0.172222222,0.172083333,0.030932336
7415,2050.2232,40,0.222222222,0.222222222,0.035136418
7416,2050.4997,33,0.183333333,0.183333333,0.031914237
7417,2050.7762,27,0.15,0.15,0.028867513
7418,2051.0527,40,0.222222222,0.222222222,0.035136418
7419,2051.3292,30,0.166666667,0.166527778,0.030429348
7420,2051.6057,34,0.188888889,0.188611111,0.032394773
7421,2051.8822,34,0.188888889,0.188333333,0.032395368
7422,2052.1587,31,0.172222222,0.171805556,0.03093296
7423,2052.4352,39,0.216666667,0.216527778,0.034694711
7424,2052.7117,30,0.166666667,0.166527778,0.030429348
