Channel,Energy (keV),CTS,Net CR,Error
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,0,0,0
36,9.9297,1,-0.000555556,0.001756821
37,10.2062,26,-0.002916667,0.008868249
38,10.4827,30,-0.003888889,0.009529843
39,10.7592,24,-0.002361111,0.008517638
40,11.0357,29,0.00375,0.009313844
41,11.3122,28,0.003888889,0.009149816
42,11.5887,20,-0.01,0.007846915
43,11.8652,22,-0.005694444,0.008185023
44,12.1417,33,0.0125,0.009877725
45,12.4182,23,-0.00125,0.00832986
46,12.6947,35,0.015694444,0.010155998
47,12.9712,24,0.00375,0.008467667
48,13.2477,25,0.000416667,0.008670272
49,13.5242,27,0.005555556,0.008970975
50,13.8007,22,-0.005,0.008179129
51,14.0772,26,0.002916667,0.008822451
52,14.3537,24,-0.001388889,0.008509708
53,14.6302,23,-0.000277778,0.008321751
54,14.9067,30,0.010138889,0.009427067
55,15.1832,25,-0.002916667,0.008696929
56,15.4597,29,0.008194444,0.009280647
57,15.7362,23,-0.000972222,0.008327544
58,16.0127,30,0.007083333,0.009449549
59,16.2892,34,0.014444444,0.01001542
60,16.5657,30,0.003472222,0.00947605
61,16.8422,33,0.011666667,0.009883582
62,17.1187,21,-0.0125,0.00805795
63,17.3952,27,0.000555556,0.009009597
64,17.6717,34,0.011944444,0.01003274
65,17.9482,34,0.01125,0.010037545
66,18.2247,27,-0.005972222,0.009059772
67,18.5012,31,-0.004583333,0.009691419
68,18.7777,36,0.004861111,0.010375846
69,19.0542,31,0.000277778,0.009656524
70,19.3307,42,0.021666667,0.011107638
71,19.6072,32,0,0.009813068
72,19.8837,24,-0.008472222,0.008567317
73,20.1602,29,0.012222222,0.009250459
74,20.4367,26,0.004722222,0.008808228
75,20.7132,28,0.010416667,0.009100137
76,20.9897,27,0.012083333,0.0089203
77,21.2662,21,-0.000694444,0.007955557
78,21.5427,27,0.004444444,0.008979572
79,21.8192,29,0.010555556,0.009262962
80,22.0957,27,-0.0025,0.009033118
81,22.3722,40,0.020416667,0.010841343
82,22.6487,25,-0.006111111,0.008722399
83,22.9252,22,-0.010277778,0.008223817
84,23.2017,28,0.010416667,0.009100137
85,23.4782,18,0.001805556,0.007342744
86,23.7547,19,0.007916667,0.007488417
87,24.0312,14,0.003888889,0.006448993
88,24.3077,9,-0.007638889,0.005305119
89,24.5842,8,-0.010416667,0.005051815
90,24.8607,11,0.001111111,0.005739994
91,25.1372,13,0.002361111,0.006228358
92,25.4137,11,-0.001666667,0.005773503
93,25.6902,11,-0.003333333,0.005793515
94,25.9667,13,0.004861111,0.006200421
95,26.2432,10,-0.004166667,0.005538167
96,26.5197,15,0.003194444,0.006685448
97,26.7962,7,-0.005972222,0.004679133
98,27.0727,13,0.0025,0.006226809
99,27.3492,19,0.013333333,0.007438015
100,27.6257,11,-0.002777778,0.005786852
101,27.9022,10,-0.002361111,0.00551548
102,28.1787,19,0.010555556,0.007463905
103,28.4552,7,-0.006388889,0.004685313
104,28.7317,5,-0.011944444,0.004087205
105,29.0082,10,-0.004305556,0.005539909
106,29.2847,10,-0.001944444,0.005510232
107,29.5612,13,0.002638889,0.00622526
108,29.8377,6,-0.006388889,0.004352344
109,30.1142,8,-0.003333333,0.004953487
110,30.3907,16,0.009722222,0.006840895
111,30.6672,13,0.004722222,0.006201976
112,30.9437,6,-0.009444444,0.004400828
113,31.2202,8,-0.005694444,0.004986479
114,31.4967,17,0.011527778,0.007039625
115,31.7732,14,0.005694444,0.006429521
116,32.0497,7,-0.005972222,0.004679133
117,32.3262,8,-0.003055556,0.004949592
118,32.6027,9,-0.005,0.005270463
119,32.8792,5,-0.009722222,0.004049272
120,33.1557,10,-0.002222222,0.005513731
121,33.4322,9,0.000555556,0.005196746
122,33.7087,11,0.003055556,0.005716421
123,33.9852,8,-0.002916667,0.004947643
124,34.2617,7,-0.006527778,0.004687371
125,34.5382,10,-0.000138889,0.00548743
126,34.8147,7,-0.006805556,0.004691485
127,35.0912,9,-0.004166667,0.005259471
128,35.3677,10,-0.000833333,0.005496211
129,35.6442,7,-0.005555556,0.004672946
130,35.9207,8,-0.006805556,0.005001929
131,36.1972,16,0.010277778,0.006835253
132,36.4737,8,-0.005138889,0.004978736
133,36.7502,11,0.000833333,0.005743354
134,37.0267,12,0.005,0.00595119
135,37.3032,7,-0.005138889,0.004666749
136,37.5797,12,0.005694444,0.005943081
137,37.8562,11,0.002916667,0.005718108
138,38.1327,10,-0.000277778,0.005489187
139,38.4092,8,-0.003194444,0.00495154
140,38.6857,14,0.005555556,0.006431021
141,38.9622,9,-0.000972222,0.005217122
142,39.2387,7,-0.005972222,0.004679133
143,39.5152,5,-0.005138889,0.003969891
144,39.7917,12,0.005,0.00595119
145,40.0682,10,-0.002361111,0.00551548
146,40.3447,6,-0.005555556,0.004339028
147,40.6212,9,0.000833333,0.005193033
148,40.8977,8,-0.000833333,0.004918314
149,41.1742,13,0.006805556,0.006178605
150,41.4507,12,0.006805556,0.005930084
151,41.7272,14,0.006111111,0.006425019
152,42.0037,5,-0.005555556,0.003977173
153,42.2802,14,0.008611111,0.00639794
154,42.5567,8,-0.000833333,0.004918314
155,42.8332,7,-0.000555556,0.00459804
156,43.1097,12,0.005138889,0.005949569
157,43.3862,11,0.001111111,0.005739994
158,43.6627,12,0.003333333,0.005970607
159,43.9392,7,-0.002638889,0.004629398
160,44.2157,6,-0.00625,0.004350128
161,44.4922,10,0.002083333,0.005459234
162,44.7687,7,-0.001805556,0.004616881
163,45.0452,7,-0.0025,0.004627314
164,45.3217,13,0.00625,0.006184846
165,45.5982,15,0.009027778,0.006624578
166,45.8747,9,0.000277778,0.005200457
167,46.1512,13,0.004444444,0.006205086
168,46.4277,7,-0.001111111,0.004606423
169,46.7042,7,-0.00375,0.004646036
170,46.9807,9,-0.00125,0.005220818
171,47.2572,10,0.003194444,0.005445082
172,47.5337,9,-0.002777778,0.005241101
173,47.8102,9,-0.000416667,0.005209722
174,48.0867,9,0.001944444,0.005178153
175,48.3632,11,0.00375,0.005707978
176,48.6397,11,0.004861111,0.005694444
177,48.9162,11,0.002222222,0.005726536
178,49.1927,15,0.011944444,0.006593932
179,49.4692,11,0.001805556,0.005731586
180,49.7457,12,0.00375,0.005965759
181,50.0222,9,0.001944444,0.005178153
182,50.2987,13,0.00375,0.006212853
183,50.5752,8,0.000277778,0.004902601
184,50.8517,12,0.005416667,0.005946326
