Channel,Energy (keV),CTS,Net CR,Error
215,59.4232,195,0.309583333,0.023319688
216,59.6997,191,0.304027778,0.023076881
217,59.9762,208,0.330694444,0.024083109
218,60.2527,201,0.317083333,0.023681676
219,60.5292,200,0.320694444,0.023607434
220,60.8057,194,0.305833333,0.023266273
221,61.0822,227,0.364861111,0.025148095
222,61.3587,219,0.349166667,0.024708954
223,61.6352,228,0.362638889,0.025213976
224,61.9117,198,0.313472222,0.023500969
225,62.1882,196,0.310833333,0.023380409
226,62.4647,224,0.357222222,0.024989195
227,62.7412,211,0.337916667,0.024249141
228,63.0177,219,0.348611111,0.024710515
229,63.2942,211,0.335972222,0.024254709
230,63.5707,207,0.329305556,0.024024566
231,63.8472,186,0.294166667,0.022778625
232,64.1237,196,0.310138889,0.023382471
233,64.4002,211,0.336388889,0.024253516
234,64.6767,203,0.321527778,0.023795441
235,64.9532,214,0.340277778,0.024427867
236,65.2297,188,0.295,0.022907827
237,65.5062,181,0.285277778,0.022473407
238,65.7827,186,0.294722222,0.022776931
239,66.0592,183,0.288055556,0.022598379
240,66.3357,175,0.275,0.02210036
241,66.6122,219,0.345694444,0.024718711
242,66.8887,199,0.311805556,0.023569817
243,67.1652,234,0.372916667,0.025541587
244,67.4417,187,0.291527778,0.022852604
245,67.7182,196,0.307083333,0.023391544
246,67.9947,196,0.309583333,0.023384121
247,68.2712,212,0.337222222,0.024313094
248,68.5477,189,0.297222222,0.022966696
249,68.8242,199,0.315,0.023560403
250,69.1007,204,0.320138889,0.023862631
251,69.3772,230,0.364166667,0.025328856
252,69.6537,208,0.327916667,0.024091118
253,69.9302,220,0.348333333,0.024772109
254,70.2067,195,0.305138889,0.02333292
255,70.4832,202,0.318055556,0.023742283
256,70.7597,222,0.345694444,0.024900651
257,71.0362,225,0.354027778,0.025058188
258,71.3127,211,0.327222222,0.024279748
259,71.5892,214,0.330972222,0.024454307
260,71.8657,231,0.360416667,0.025398445
261,72.1422,240,0.372222222,0.025894492
262,72.4187,253,0.394722222,0.026580445
263,72.6952,246,0.381805556,0.026215439
264,72.9717,246,0.381944444,0.026215071
265,73.2482,247,0.382638889,0.026270568
266,73.5247,234,0.353888889,0.025593269
267,73.8012,259,0.395277778,0.026916509
268,74.0777,261,0.401527778,0.027012014
269,74.3542,242,0.367777778,0.026022308
270,74.6307,230,0.345,0.025381351
271,74.9072,199,0.297638889,0.02361152
272,75.1837,246,0.383472222,0.026211023
273,75.4602,213,0.32375,0.024413253
274,75.7367,222,0.345694444,0.024900651
275,76.0132,181,0.278472222,0.022494427
276,76.2897,220,0.34625,0.024777949
277,76.5662,199,0.309166667,0.023577591
278,76.8427,208,0.325,0.024099524
279,77.1192,221,0.346666667,0.024837434
280,77.3957,203,0.320972222,0.023797062
281,77.6722,213,0.335,0.024381231
282,77.9487,172,0.269027778,0.021914096
283,78.2252,196,0.306944444,0.023391957
284,78.5017,238,0.376666667,0.025766041
285,78.7782,217,0.340833333,0.02461039
286,79.0547,209,0.331388889,0.024143507
287,79.3312,206,0.326111111,0.023971112
288,79.6077,226,0.358611111,0.025105487
289,79.8842,226,0.3525,0.025122386
290,80.1607,209,0.330694444,0.024145505
291,80.4372,210,0.331527778,0.024205349
292,80.7137,213,0.334027778,0.024384
293,80.9902,211,0.33,0.024271802
294,81.2667,194,0.303194444,0.023274148
295,81.5432,218,0.345694444,0.024657766
296,81.8197,208,0.327083333,0.02409352
297,82.0962,175,0.270277778,0.022115194
298,82.3727,193,0.297777778,0.023225611
299,82.6492,204,0.320833333,0.02386061
300,82.9257,209,0.324583333,0.024163074
301,83.2022,217,0.336527778,0.024622536
302,83.4787,226,0.350694444,0.025127376
303,83.7552,220,0.337916667,0.024801294
304,84.0317,254,0.392638889,0.026642422
305,84.3082,244,0.372222222,0.026125882
306,84.5847,225,0.342916667,0.025088962
307,84.8612,221,0.339305556,0.024858007
308,85.1377,209,0.316527778,0.024186215
309,85.4142,229,0.355972222,0.025291892
310,85.6907,207,0.319305556,0.024053454
311,85.9672,202,0.309166667,0.023768268
312,86.2437,228,0.355833333,0.025232713
313,86.5202,217,0.334027778,0.024629586
314,86.7967,228,0.352638889,0.025241503
315,87.0732,198,0.305555556,0.02352435
316,87.3497,225,0.351944444,0.025063961
317,87.6262,196,0.302361111,0.02340556
318,87.9027,231,0.359861111,0.025399964
319,88.1792,229,0.359166667,0.025283119
320,88.4557,239,0.374444444,0.025830346
321,88.7322,197,0.305416667,0.023460714
322,89.0087,212,0.328333333,0.02433847
323,89.2852,219,0.343194444,0.024725733
324,89.5617,223,0.349444444,0.024950568
325,89.8382,228,0.3575,0.025228126
326,90.1147,213,0.330416667,0.024394282
327,90.3912,205,0.319444444,0.023927617
328,90.6677,184,0.280694444,0.022687405
329,90.9442,223,0.3525,0.024942062
330,91.2207,212,0.327777778,0.024340055
331,91.4972,224,0.351111111,0.025006172
332,91.7737,270,0.425416667,0.027448394
333,92.0502,265,0.415694444,0.027197764
334,92.3267,262,0.413055556,0.027038068
335,92.6032,256,0.404027778,0.026725557
336,92.8797,262,0.412222222,0.027040208
337,93.1562,261,0.410277778,0.02698951
338,93.4327,260,0.412083333,0.026929048
339,93.7092,215,0.33125,0.024514971
340,93.9857,201,0.3125,0.023695112
341,94.2622,216,0.337916667,0.024557425
342,94.5387,198,0.309861111,0.023511637
343,94.8152,213,0.330833333,0.024393096
344,95.0917,198,0.305972222,0.02352312
345,95.3682,211,0.329027778,0.024274583
346,95.6447,195,0.302777778,0.023339946
347,95.9212,199,0.31125,0.023571454
348,96.1977,192,0.29625,0.023165318
349,96.4742,187,0.289444444,0.022858934
350,96.7507,189,0.294861111,0.022973834
351,97.0272,216,0.334583333,0.024566849
352,97.3037,214,0.334305556,0.024444839
353,97.5802,202,0.3125,0.023758527
354,97.8567,218,0.342222222,0.024667543
355,98.1332,197,0.303611111,0.023466058
356,98.4097,222,0.348472222,0.024892903
357,98.6862,209,0.325694444,0.024159881
358,98.9627,215,0.336944444,0.024498835
359,99.2392,198,0.3075,0.02351861
360,99.5157,198,0.3025,0.023533369
361,99.7922,214,0.331527778,0.024452729
362,100.0687,197,0.301388889,0.023472633
363,100.3452,203,0.313333333,0.023819343
364,100.6217,206,0.322083333,0.023982777
365,100.8982,215,0.336388889,0.024500409
366,101.1747,200,0.308333333,0.023643768
367,101.4512,204,0.317777778,0.023869501
368,101.7277,197,0.303611111,0.023466058
369,102.0042,213,0.331111111,0.024392306
370,102.2807,216,0.335416667,0.024564494
371,102.5572,224,0.350416667,0.025008101
372,102.8337,230,0.357777778,0.025346366
373,103.1102,198,0.308055556,0.023516969
374,103.3867,179,0.2725,0.022378789
375,103.6632,193,0.298333333,0.02322395
376,103.9397,203,0.31,0.023829059
377,104.2162,208,0.323611111,0.024103525
378,104.4927,203,0.315,0.023814484
379,104.7692,209,0.32625,0.024158284
380,105.0457,215,0.330833333,0.024516151
381,105.3222,208,0.320138889,0.024113527
382,105.5987,229,0.356527778,0.025290366
383,105.8752,192,0.295416667,0.023167816
