Channel,Energy (keV),CTS,CR,Net CR,Error
1,0.2522,0,0,0,0
2,0.5287,0,0,0,0
3,0.8052,0,0,0,0
4,1.0817,0,0,0,0
5,1.3582,0,0,0,0
6,1.6347,0,0,0,0
7,1.9112,0,0,0,0
8,2.1877,0,0,0,0
9,2.4642,0,0,0,0
10,2.7407,0,0,0,0
11,3.0172,0,0,0,0
12,3.2937,0,0,0,0
13,3.5702,0,0,0,0
14,3.8467,0,0,0,0
15,4.1232,0,0,0,0
16,4.3997,0,0,0,0
17,4.6762,0,0,0,0
18,4.9527,0,0,0,0
19,5.2292,0,0,0,0
20,5.5057,0,0,0,0
21,5.7822,0,0,0,0
22,6.0587,0,0,0,0
23,6.3352,0,0,0,0
24,6.6117,0,0,0,0
25,6.8882,0,0,0,0
26,7.1647,0,0,0,0
27,7.4412,0,0,0,0
28,7.7177,0,0,0,0
29,7.9942,0,0,0,0
30,8.2707,0,0,0,0
31,8.5472,0,0,0,0
32,8.8237,0,0,0,0
33,9.1002,0,0,0,0
34,9.3767,0,0,0,0
35,9.6532,0,0,0,0
36,9.9297,0,0,-0.002222222,0.000555556
37,10.2062,0,0,-0.04625,0.002534484
38,10.4827,0,0,-0.053888889,0.002735794
39,10.7592,0,0,-0.042361111,0.00242559
40,11.0357,0,0,-0.044583333,0.002488399
41,11.3122,0,0,-0.042777778,0.00243749
42,11.5887,0,0,-0.043333333,0.002453267
43,11.8652,0,0,-0.042361111,0.00242559
44,12.1417,0,0,-0.0425,0.002429563
45,12.4182,0,0,-0.039583333,0.002344714
46,12.6947,0,0,-0.042638889,0.00243353
47,12.9712,0,0,-0.03625,0.002243819
48,13.2477,0,0,-0.04125,0.002393568
49,13.5242,0,0,-0.039444444,0.002340597
50,13.8007,0,0,-0.041666667,0.002405626
51,14.0772,0,0,-0.040416667,0.002369267
52,14.3537,0,0,-0.041388889,0.002397594
53,14.6302,0,0,-0.038611111,0.002315741
54,14.9067,0,0,-0.039861111,0.002352927
55,15.1832,0,0,-0.044583333,0.002488399
56,15.4597,0,0,-0.040138889,0.002361111
57,15.7362,0,0,-0.039305556,0.002336473
58,16.0127,2,0.011111111,-0.031805556,0.008227335
59,16.2892,14,0.077777778,0.035555556,0.020927565
60,16.5657,21,0.116666667,0.070138889,0.025585354
61,16.8422,47,0.261111111,0.217777778,0.038165898
62,17.1187,59,0.327777778,0.280277778,0.042750262
63,17.3952,77,0.427777778,0.383333333,0.048813073
64,17.6717,105,0.583333333,0.538611111,0.056982034
65,17.9482,108,0.6,0.554583333,0.057789629
66,18.2247,155,0.861111111,0.810138889,0.069217267
67,18.5012,180,1,0.94375,0.074587989
68,18.7777,200,1.111111111,1.055972222,0.078616141
69,19.0542,293,1.627777778,1.576388889,0.095133313
70,19.3307,263,1.461111111,1.412777778,0.090133218
71,19.6072,322,1.788888889,1.735555556,0.099728025
72,19.8837,367,2.038888889,1.990416667,0.106460757
73,20.1602,444,2.466666667,2.430555556,0.117084239
74,20.4367,446,2.477777778,2.439166667,0.11734903
75,20.7132,523,2.905555556,2.869305556,0.127070886
76,20.9897,575,3.194444444,3.161527778,0.1332347
77,21.2662,567,3.15,3.114305556,0.132306302
78,21.5427,663,3.683333333,3.642777778,0.1430685
79,21.8192,646,3.588888889,3.551111111,0.141221523
80,22.0957,743,4.127777778,4.080277778,0.151455261
81,22.3722,736,4.088888889,4.042638889,0.150739753
82,22.6487,815,4.527777778,4.48,0.158622056
83,22.9252,852,4.733333333,4.686388889,0.16218143
84,23.2017,865,4.805555556,4.769305556,0.163409197
85,23.4782,859,4.772222222,4.744027778,0.162838145
86,23.7547,833,4.627777778,4.604027778,0.160353282
87,24.0312,964,5.355555556,5.336111111,0.172498658
88,24.3077,982,5.455555556,5.432916667,0.174102804
89,24.5842,986,5.477777778,5.454027778,0.174457437
90,24.8607,992,5.511111111,5.493888889,0.174984788
91,25.1372,1006,5.588888889,5.569583333,0.176215959
92,25.4137,1040,5.777777778,5.757777778,0.179169035
93,25.6902,1038,5.766666667,5.745,0.178997336
94,25.9667,1047,5.816666667,5.799861111,0.179769711
95,26.2432,1001,5.561111111,5.540277778,0.175778142
96,26.5197,1056,5.866666667,5.844861111,0.180542574
97,26.7962,1067,5.927777778,5.910138889,0.181478783
98,27.0727,1110,6.166666667,6.1475,0.18509976
99,27.3492,1072,5.955555556,5.937222222,0.181903727
100,27.6257,1091,6.061111111,6.04,0.183509595
101,27.9022,1037,5.761111111,5.742083333,0.178910077
102,28.1787,1012,5.622222222,5.601111111,0.176741336
103,28.4552,1042,5.788888889,5.770833333,0.179340463
