Channel,Energy (keV),CTS,Net CR,
4370,1208.2807,0,0,5.43E-06
4371,1208.5572,1,0.001666667,0.001666675
4372,1208.8337,2,0.003333333,0.002357029
4373,1209.1102,0,0,5.43E-06
4374,1209.3867,0,0,4.91E-06
4375,1209.6632,1,0.001666667,0.001666678
4376,1209.9397,0,0,4.01E-06
4377,1210.2162,0,0,5.43E-06
4378,1210.4927,0,0,4.33E-06
4379,1210.7692,1,0.001666667,0.001666677
4380,1211.0457,1,0.001666667,0.001666671
4381,1211.3222,2,0.003333333,0.002357028
4382,1211.5987,0,0,4.91E-06
4383,1211.8752,1,0.001666667,0.001666672
4384,1212.1517,1,0.001666667,0.001666676
4385,1212.4282,1,0.001666667,0.001666676
4386,1212.7047,0,0,5.90E-06
4387,1212.9812,0,0,6.34E-06
4388,1213.2577,0,0,5.90E-06
4389,1213.5342,1,0.001666667,0.001666673
4390,1213.8107,1,0.001666667,0.001666672
4391,1214.0872,0,0,6.12E-06
4392,1214.3637,2,0.003333333,0.002357026
4393,1214.6402,0,0,4.33E-06
4394,1214.9167,1,0.001666667,0.00166668
4395,1215.1932,0,0,4.33E-06
4396,1215.4697,2,0.003333333,0.002357029
4397,1215.7462,1,0.001666667,0.001666676
4398,1216.0227,1,0.001666667,0.001666675
4399,1216.2992,1,0.001666667,0.001666676
4400,1216.5757,0,0,5.43E-06
4401,1216.8522,0,0,3.66E-06
4402,1217.1287,0,0,5.67E-06
4403,1217.4052,1,0.001666667,0.001666677
4404,1217.6817,2,0.003333333,0.002357031
4405,1217.9582,2,0.003333333,0.002357028
4406,1218.2347,3,0.005,0.002886754
4407,1218.5112,0,0,5.90E-06
4408,1218.7877,1,0.001666667,0.001666675
4409,1219.0642,0,0,5.43E-06
4410,1219.3407,1,0.001666667,0.001666673
4411,1219.6172,0,0,6.55E-06
4412,1219.8937,1,0.001666667,0.001666676
4413,1220.1702,0,0,3.27E-06
4414,1220.4467,3,0.005,0.002886755
4415,1220.7232,1,0.001666667,0.001666673
4416,1220.9997,1,0.001666667,0.001666677
4417,1221.2762,2,0.003333333,0.002357025
4418,1221.5527,1,0.001666667,0.001666675
4419,1221.8292,0,0,6.34E-06
4420,1222.1057,0,0,5.18E-06
4421,1222.3822,0,0,5.43E-06
4422,1222.6587,1,0.001666667,0.001666674
4423,1222.9352,1,0.001666667,0.001666678
4424,1223.2117,0,0,4.91E-06
4425,1223.4882,0,0,4.01E-06
4426,1223.7647,0,0,3.27E-06
4427,1224.0412,0,0,5.43E-06
4428,1224.3177,1,0.001666667,0.001666674
4429,1224.5942,1,0.001666667,0.001666675
4430,1224.8707,2,0.003333333,0.002357028
4431,1225.1472,0,0,4.91E-06
4432,1225.4237,0,0,5.18E-06
4433,1225.7002,2,0.003333333,0.002357027
4434,1225.9767,0,0,4.33E-06
4435,1226.2532,0,0,5.90E-06
4436,1226.5297,1,0.001666667,0.001666676
4437,1226.8062,0,0,4.91E-06
4438,1227.0827,0,0,6.12E-06
4439,1227.3592,2,0.003333333,0.002357028
4440,1227.6357,1,0.001666667,0.001666675
4441,1227.9122,3,0.005,0.002886756
4442,1228.1887,0,0,5.18E-06
4443,1228.4652,0,0,6.12E-06
4444,1228.7417,1,0.001666667,0.001666672
4445,1229.0182,0,0,4.01E-06
4446,1229.2947,0,0,4.63E-06
4447,1229.5712,1,0.001666667,0.001666675
4448,1229.8477,0,0,5.18E-06
4449,1230.1242,1,0.001666667,0.001666671
4450,1230.4007,0,0,5.43E-06
4451,1230.6772,1,0.001666667,0.001666678
4452,1230.9537,1,0.001666667,0.001666676
4453,1231.2302,1,0.001666667,0.001666671
4454,1231.5067,2,0.003333333,0.002357029
4455,1231.7832,0,0,4.91E-06
4456,1232.0597,1,0.001666667,0.001666678
4457,1232.3362,0,0,5.90E-06
4458,1232.6127,0,0,3.27E-06
4459,1232.8892,0,0,6.55E-06
4460,1233.1657,0,0,3.66E-06
4461,1233.4422,0,0,6.34E-06
4462,1233.7187,2,0.003333333,0.002357028
4463,1233.9952,0,0,5.43E-06
4464,1234.2717,3,0.005,0.002886752
4465,1234.5482,0,0,6.55E-06
4466,1234.8247,2,0.003333333,0.002357028
4467,1235.1012,0,0,5.67E-06
4468,1235.3777,2,0.003333333,0.002357031
4469,1235.6542,1,0.001666667,0.001666677
4470,1235.9307,3,0.005,0.002886756
4471,1236.2072,0,0,5.67E-06
4472,1236.4837,2,0.003333333,0.002357033
4473,1236.7602,2,0.003333333,0.002357028
4474,1237.0367,1,0.001666667,0.001666684
4475,1237.3132,1,0.001666667,0.001666684
4476,1237.5897,2,0.003333333,0.002357033
4477,1237.8662,1,0.001666667,0.001666683
4478,1238.1427,1,0.001666667,0.001666673
4479,1238.4192,1,0.001666667,0.001666673
4480,1238.6957,0,0,6.75E-06
4481,1238.9722,2,0.003333333,0.00235703
4482,1239.2487,1,0.001666667,0.001666675
4483,1239.5252,1,0.001666667,0.001666674
4484,1239.8017,1,0.001666667,0.001666674
4485,1240.0782,0,0,6.12E-06
4486,1240.3547,0,0,4.63E-06
4487,1240.6312,0,0,5.67E-06
4488,1240.9077,0,0,5.90E-06
4489,1241.1842,1,0.001666667,0.00166667
4490,1241.4607,2,0.003333333,0.002357028
4491,1241.7372,1,0.001666667,0.001666676
4492,1242.0137,0,0,4.01E-06
4493,1242.2902,0,0,4.33E-06
4494,1242.5667,0,0,5.67E-06
4495,1242.8432,0,0,5.43E-06
4496,1243.1197,1,0.001666667,0.001666676
4497,1243.3962,1,0.001666667,0.001666671
4498,1243.6727,0,0,3.66E-06
4499,1243.9492,1,0.001666667,0.001666676
4500,1244.2257,1,0.001666667,0.001666676
4501,1244.5022,2,0.003333333,0.002357028
4502,1244.7787,0,0,5.67E-06
4503,1245.0552,0,0,4.91E-06
4504,1245.3317,0,0,4.01E-06
4505,1245.6082,0,0,4.63E-06
4506,1245.8847,0,0,5.18E-06
4507,1246.1612,2,0.003333333,0.002357029
4508,1246.4377,1,0.001666667,0.001666674
4509,1246.7142,1,0.001666667,0.001666671
4510,1246.9907,1,0.001666667,0.001666671
4511,1247.2672,0,0,5.18E-06
4512,1247.5437,0,0,4.91E-06
4513,1247.8202,0,0,4.33E-06
4514,1248.0967,0,0,4.91E-06
4515,1248.3732,3,0.005,0.002886756
4516,1248.6497,0,0,4.01E-06
4517,1248.9262,1,0.001666667,0.001666674
4518,1249.2027,2,0.003333333,0.002357029
4519,1249.4792,0,0,3.66E-06
4520,1249.7557,2,0.003333333,0.002357027
4521,1250.0322,0,0,4.63E-06
4522,1250.3087,0,0,4.33E-06
4523,1250.5852,0,0,5.18E-06
4524,1250.8617,1,0.001666667,0.001666671
4525,1251.1382,1,0.001666667,0.001666674
4526,1251.4147,0,0,3.66E-06
4527,1251.6912,1,0.001666667,0.001666676
4528,1251.9677,0,0,4.33E-06
4529,1252.2442,0,0,4.01E-06
4530,1252.5207,1,0.001666667,0.001666677
4531,1252.7972,0,0,3.66E-06
4532,1253.0737,2,0.003333333,0.002357027
4533,1253.3502,0,0,4.01E-06
4534,1253.6267,0,0,5.18E-06
4535,1253.9032,0,0,4.33E-06
4536,1254.1797,2,0.003333333,0.002357027
4537,1254.4562,0,0,5.43E-06
4538,1254.7327,0,0,5.18E-06
4539,1255.0092,2,0.003333333,0.002357027
4540,1255.2857,0,0,5.67E-06
4541,1255.5622,0,0,4.91E-06
4542,1255.8387,0,0,3.66E-06
4543,1256.1152,0,0,3.66E-06
4544,1256.3917,2,0.003333333,0.002357027
4545,1256.6682,4,0.006666667,0.003333336
4546,1256.9447,1,0.001666667,0.001666673
4547,1257.2212,0,0,2.84E-06
4548,1257.4977,1,0.001666667,0.001666678
4549,1257.7742,1,0.001666667,0.001666676
4550,1258.0507,0,0,5.18E-06
4551,1258.3272,0,0,5.18E-06
4552,1258.6037,1,0.001666667,0.001666674
4553,1258.8802,0,0,6.34E-06
4554,1259.1567,0,0,5.43E-06
4555,1259.4332,0,0,5.43E-06
4556,1259.7097,1,0.001666667,0.001666669
4557,1259.9862,0,0,4.63E-06
4558,1260.2627,1,0.001666667,0.001666672
4559,1260.5392,0,0,4.33E-06
4560,1260.8157,2,0.003333333,0.002357025
4561,1261.0922,0,0,2.31E-06
4562,1261.3687,0,0,4.63E-06
4563,1261.6452,1,0.001666667,0.001666669
4564,1261.9217,0,0,4.91E-06
4565,1262.1982,3,0.005,0.002886756
4566,1262.4747,1,0.001666667,0.001666676
4567,1262.7512,0,0,4.91E-06
4568,1263.0277,1,0.001666667,0.001666671
4569,1263.3042,0,0,3.27E-06
4570,1263.5807,0,0,3.66E-06
4571,1263.8572,1,0.001666667,0.001666672
4572,1264.1337,1,0.001666667,0.00166667
4573,1264.4102,0,0,4.91E-06
4574,1264.6867,3,0.005,0.002886754
4575,1264.9632,0,0,5.67E-06
4576,1265.2397,0,0,4.33E-06
4577,1265.5162,1,0.001666667,0.00166667
4578,1265.7927,0,0,4.63E-06
4579,1266.0692,0,0,5.18E-06
4580,1266.3457,1,0.001666667,0.001666671
4581,1266.6222,0,0,4.33E-06
4582,1266.8987,0,0,4.01E-06
4583,1267.1752,0,0,4.01E-06
4584,1267.4517,0,0,4.63E-06
4585,1267.7282,0,0,4.01E-06
4586,1268.0047,1,0.001666667,0.001666671
4587,1268.2812,0,0,4.33E-06
4588,1268.5577,0,0,2.84E-06
4589,1268.8342,1,0.001666667,0.001666675
4590,1269.1107,0,0,5.18E-06
4591,1269.3872,0,0,3.27E-06
4592,1269.6637,0,0,4.01E-06
4593,1269.9402,0,0,4.33E-06
4594,1270.2167,2,0.003333333,0.002357027
4595,1270.4932,0,0,3.66E-06
4596,1270.7697,0,0,4.91E-06
4597,1271.0462,1,0.001666667,0.001666676
4598,1271.3227,0,0,6.12E-06
4599,1271.5992,0,0,4.33E-06
4600,1271.8757,0,0,4.33E-06
4601,1272.1522,2,0.003333333,0.002357027
4602,1272.4287,1,0.001666667,0.001666678
4603,1272.7052,1,0.001666667,0.001666674
4604,1272.9817,0,0,4.01E-06
4605,1273.2582,1,0.001666667,0.001666675
4606,1273.5347,0,0,4.91E-06
4607,1273.8112,0,0,4.33E-06
4608,1274.0877,1,0.001666667,0.001666676
4609,1274.3642,0,0,3.66E-06
4610,1274.6407,0,0,4.01E-06
4611,1274.9172,1,0.001666667,0.00166667
4612,1275.1937,0,0,4.63E-06
4613,1275.4702,1,0.001666667,0.001666671
4614,1275.7467,1,0.001666667,0.001666671
4615,1276.0232,1,0.001666667,0.001666672
4616,1276.2997,0,0,4.01E-06
4617,1276.5762,0,0,4.01E-06
4618,1276.8527,0,0,4.01E-06
4619,1277.1292,2,0.003333333,0.002357025
4620,1277.4057,1,0.001666667,0.001666675
4621,1277.6822,0,0,4.01E-06
4622,1277.9587,0,0,4.63E-06
4623,1278.2352,0,0,5.90E-06
4624,1278.5117,2,0.003333333,0.002357024
4625,1278.7882,1,0.001666667,0.001666671
