Channel,Energy (keV),CTS,Net CR,Error
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,0,0,0
36,9.9297,6,-0.000555556,0.000680445
37,10.2062,140,-0.007361111,0.003286847
38,10.4827,176,-0.005,0.00368528
39,10.7592,203,0.014027778,0.003957827
40,11.0357,164,0.000972222,0.003557412
41,11.3122,190,0.01,0.00382901
42,11.5887,159,0.000833333,0.003502764
43,11.8652,178,0.007083333,0.003706128
44,12.1417,168,0.004166667,0.003600525
45,12.4182,169,0.007361111,0.003611217
46,12.6947,155,0.000416667,0.003458424
47,12.9712,172,0.011527778,0.003643117
48,13.2477,138,-0.002916667,0.003263272
49,13.5242,180,0.010555556,0.003726882
50,13.8007,160,0.002777778,0.003513756
51,14.0772,149,0.000972222,0.003390825
52,14.3537,148,-0.000277778,0.003379431
53,14.6302,158,0.005277778,0.003491719
54,14.9067,155,0.003194444,0.003458417
55,15.1832,169,0.002361111,0.00361123
56,15.4597,172,0.007638889,0.003643128
57,15.7362,141,-0.000138889,0.003298543
58,16.0127,143,-0.003194444,0.003321864
59,16.2892,175,0.006388889,0.003674765
60,16.5657,137,-0.008472222,0.003251444
61,16.8422,165,0.0025,0.003568237
62,17.1187,183,0.003333333,0.00375783
63,17.3952,168,0.002222222,0.003600531
64,17.6717,219,0.016111111,0.004110841
65,17.9482,170,0.001805556,0.0036219
66,18.2247,204,0.005694444,0.003967584
67,18.5012,168,-0.009583333,0.003600562
68,18.7777,189,-0.002638889,0.003818952
69,19.0542,162,-0.006388889,0.003535674
70,19.3307,200,0.007222222,0.00392849
71,19.6072,186,-0.001666667,0.00378852
72,19.8837,181,0.001805556,0.003737243
73,20.1602,142,0.003333333,0.003310209
74,20.4367,136,-0.000833333,0.003239533
75,20.7132,156,0.007083333,0.003469544
76,20.9897,151,0.009027778,0.003413483
77,21.2662,177,0.013472222,0.003695686
78,21.5427,153,0.001944444,0.003436035
79,21.8192,151,0.004166667,0.003413497
80,22.0957,161,-0.002777778,0.003524735
81,22.3722,192,0.007083333,0.003849118
82,22.6487,165,-0.001944444,0.003568249
83,22.9252,151,-0.005,0.003413523
84,23.2017,116,-0.004027778,0.002991875
85,23.4782,129,0.007638889,0.003155035
86,23.7547,103,0.004861111,0.002819218
87,24.0312,80,0.002777778,0.002484595
88,24.3077,72,-0.002638889,0.002357115
89,24.5842,97,0.003194444,0.002735878
90,24.8607,94,0.008888889,0.002693217
91,25.1372,98,0.007916667,0.002749927
92,25.4137,85,0.003611111,0.00256106
93,25.6902,83,0.001388889,0.002530759
94,25.9667,82,0.005972222,0.002515449
95,26.2432,84,0.0025,0.002545954
96,26.5197,86,0.002083333,0.002576087
97,26.7962,69,0.001527778,0.002307469
98,27.0727,83,0.003888889,0.002530749
99,27.3492,98,0.008888889,0.002749924
100,27.6257,79,0.000833333,0.002469025
101,27.9022,80,0.003194444,0.002484594
102,28.1787,75,-0.000277778,0.002405711
103,28.4552,79,0.003888889,0.002469013
104,28.7317,77,0.001111111,0.00243757
105,29.0082,67,-0.002361111,0.002273798
106,29.2847,83,0.004444444,0.002530747
107,29.5612,79,0.002916667,0.002469017
108,29.8377,71,0.003333333,0.002340665
109,30.1142,68,0.002222222,0.002290684
110,30.3907,76,0.004166667,0.002421678
111,30.6672,61,0,0.002169589
112,30.9437,65,-0.001388889,0.0022396
113,31.2202,86,0.004861111,0.002576076
114,31.4967,74,0.00375,0.002389603
115,31.7732,73,0.002638889,0.002373406
116,32.0497,73,0.002638889,0.002373406
117,32.3262,74,0.004166667,0.002389601
118,32.6027,75,0.000833333,0.002405706
119,32.8792,68,0.000833333,0.00229069
120,33.1557,70,0.000555556,0.002324134
121,33.4322,76,0.006666667,0.002421668
122,33.7087,69,0.003888889,0.002307459
123,33.9852,73,0.004027778,0.0023734
124,34.2617,92,0.007361111,0.002664417
125,34.5382,64,0.000972222,0.002222295
126,34.8147,68,0.000416667,0.002290692
127,35.0912,67,-0.000555556,0.00227379
128,35.3677,62,-0.000277778,0.002187302
129,35.6442,81,0.005277778,0.002500066
130,35.9207,75,0.000694444,0.002405707
131,36.1972,71,0.003333333,0.002340665
132,36.4737,68,0.000416667,0.002290692
133,36.7502,62,-0.000277778,0.002187302
134,37.0267,49,-0.001388889,0.001944519
135,37.3032,66,0.001527778,0.002256749
136,37.5797,76,0.006805556,0.002421668
137,37.8562,65,0.002638889,0.002239582
138,38.1327,63,0.000555556,0.002204867
139,38.4092,72,0.003472222,0.00235709
140,38.6857,76,0.003333333,0.002421681
141,38.9622,61,0.000972222,0.002169585
142,39.2387,65,0.000416667,0.002239592
143,39.5152,62,0.00375,0.002187284
144,39.7917,70,0.004444444,0.002324118
145,40.0682,76,0.002083333,0.002421686
146,40.3447,66,0.002777778,0.002256744
147,40.6212,69,0.005,0.002307455
148,40.8977,64,0.003611111,0.002222284
149,41.1742,63,0.002638889,0.002204858
150,41.4507,68,0.005694444,0.00229067
151,41.7272,63,0.000277778,0.002204868
152,42.0037,72,0.006111111,0.002357079
153,42.2802,58,0.001388889,0.00211556
154,42.5567,71,0.005555556,0.002340656
155,42.8332,66,0.006111111,0.00225673
156,43.1097,63,0.002638889,0.002204858
157,43.3862,72,0.002777778,0.002357093
158,43.6627,76,0.004444444,0.002421677
159,43.9392,64,0.003472222,0.002222284
160,44.2157,70,0.003194444,0.002324123
161,44.4922,56,0.000972222,0.002078766
162,44.7687,61,0.003472222,0.002169574
163,45.0452,76,0.006944444,0.002421667
164,45.3217,66,0.002916667,0.002256743
165,45.5982,57,-0.000138889,0.00209725
166,45.8747,66,0.003611111,0.00225674
167,46.1512,75,0.003611111,0.002405695
168,46.4277,74,0.007777778,0.002389586
169,46.7042,49,-0.001805556,0.001944521
170,46.9807,52,-0.001805556,0.002003162
171,47.2572,58,0.002638889,0.002115554
172,47.5337,65,0.000277778,0.002239593
173,47.8102,69,0.00375,0.00230746
174,48.0867,62,0.004166667,0.002187282
175,48.3632,64,0.003194444,0.002222286
176,48.6397,47,-0.000416667,0.001904417
177,48.9162,58,0,0.002115566
178,49.1927,47,0,0.001904415
179,49.4692,66,0.001805556,0.002256748
180,49.7457,55,-0.000972222,0.002060131
181,50.0222,55,0.002222222,0.002060116
182,50.2987,72,0.002083333,0.002357096
183,50.5752,61,0.003888889,0.002169572
184,50.8517,56,0.000972222,0.002078766
185,51.1282,57,0.000555556,0.002097246
186,51.4047,63,0.004027778,0.002204852
