Channel,Energy (keV),CTS,Net CR,Error
1993,551.0402,5,0.004861111,0.003726789
1994,551.3167,1,-0.001527778,0.001666685
1995,551.5932,2,-0.001388889,0.002357042
1996,551.8697,4,0.002916667,0.003333344
1997,552.1462,0,-0.003055556,7.68E-06
1998,552.4227,3,0.002361111,0.00288676
1999,552.6992,3,0.001666667,0.002886762
2000,552.9757,0,-0.003333333,8.02E-06
2001,553.2522,1,-0.001944444,0.001666688
2002,553.5287,6,0.006944444,0.00408249
2003,553.8052,5,0.005694444,0.003726787
2004,554.0817,2,0.000555556,0.002357034
2005,554.3582,6,0.007361111,0.004082489
2006,554.6347,3,0.002222222,0.002886761
2007,554.9112,3,0.002361111,0.00288676
2008,555.1877,4,0.00375,0.003333342
2009,555.4642,2,0.000277778,0.002357035
2010,555.7407,0,-0.003888889,8.66E-06
2011,556.0172,2,0.001111111,0.002357032
2012,556.2937,6,0.006111111,0.004082492
2013,556.5702,2,0.000277778,0.002357035
2014,556.8467,2,-0.000416667,0.002357038
2015,557.1232,2,0.000277778,0.002357035
2016,557.3997,4,0.003888889,0.003333341
2017,557.6762,1,-0.000694444,0.00166668
2018,557.9527,1,-0.002777778,0.001666692
2019,558.2292,1,-0.001666667,0.001666686
2020,558.5057,3,0.002222222,0.002886761
2021,558.7822,2,0.000694444,0.002357033
2022,559.0587,1,-0.000833333,0.001666681
2023,559.3352,3,0.001805556,0.002886762
2024,559.6117,3,0.001111111,0.002886764
2025,559.8882,2,0,0.002357036
2026,560.1647,1,-0.000972222,0.001666682
2027,560.4412,2,-0.000694444,0.002357039
2028,560.7177,2,-0.000277778,0.002357037
2029,560.9942,1,-0.002916667,0.001666693
2030,561.2707,1,-0.00125,0.001666684
2031,561.5472,2,-0.000138889,0.002357037
2032,561.8237,1,-0.00125,0.001666684
2033,562.1002,1,-0.00125,0.001666684
2034,562.3767,7,0.009722222,0.00440959
2035,562.6532,1,0,0.001666676
2036,562.9297,0,-0.003611111,8.35E-06
2037,563.2062,2,0.001111111,0.002357032
2038,563.4827,1,-0.001666667,0.001666686
2039,563.7592,0,-0.003333333,8.02E-06
2040,564.0357,1,-0.001944444,0.001666688
2041,564.3122,4,0.00375,0.003333342
2042,564.5887,2,0.001111111,0.002357032
2043,564.8652,0,-0.002638889,7.13E-06
2044,565.1417,2,0,0.002357036
2045,565.4182,2,0.000555556,0.002357034
2046,565.6947,2,0.000555556,0.002357034
2047,565.9712,1,-0.00125,0.001666684
2048,566.2477,0,-0.003472222,8.18E-06
2049,566.5242,2,0.000277778,0.002357035
2050,566.8007,1,-0.001527778,0.001666685
2051,567.0772,4,0.00375,0.003333342
2052,567.3537,1,-0.000694444,0.00166668
2053,567.6302,1,-0.001527778,0.001666685
2054,567.9067,3,0.001666667,0.002886762
2055,568.1832,0,-0.003333333,8.02E-06
2056,568.4597,1,-0.002083333,0.001666688
2057,568.7362,4,0.002777778,0.003333345
2058,569.0127,5,0.005833333,0.003726786
2059,569.2892,1,-0.000972222,0.001666682
2060,569.5657,3,0.002916667,0.002886758
2061,569.8422,2,0.000833333,0.002357033
2062,570.1187,3,0.0025,0.00288676
2063,570.3952,3,0.002083333,0.002886761
2064,570.6717,0,-0.002222222,6.55E-06
2065,570.9482,2,0.000555556,0.002357034
2066,571.2247,2,0.000833333,0.002357033
2067,571.5012,4,0.004027778,0.003333341
2068,571.7777,2,0.000833333,0.002357033
2069,572.0542,1,-0.000694444,0.00166668
2070,572.3307,0,-0.003194444,7.85E-06
2071,572.6072,1,-0.001666667,0.001666686
2072,572.8837,2,0.000277778,0.002357035
2073,573.1602,4,0.001944444,0.003333347
2074,573.4367,1,-0.001944444,0.001666688
2075,573.7132,3,0.002222222,0.002886761
2076,573.9897,2,0,0.002357036
2077,574.2662,5,0.005,0.003726789
2078,574.5427,2,0.000555556,0.002357034
2079,574.8192,3,0.003472222,0.002886756
2080,575.0957,2,-0.000138889,0.002357037
2081,575.3722,1,-0.000833333,0.001666681
2082,575.6487,1,-0.001111111,0.001666683
2083,575.9252,3,0.001111111,0.002886764
2084,576.2017,2,0.000694444,0.002357033
